51300038896,gac,259,36
51300058153,ffe,119,272
51300074471,cff,170,68
51300075293,fae,4,177
51300077666,gaf,104,277
51300080727,dea,162,246
51300103634,ede,66,142
51300111400,fgc,184,61
51300112697,bee,80,257
51300128487,gec,7,171
51300190297,bca,85,58
51300196073,gce,51,116
51300250056,feg,105,116
51300269572,dbc,59,170
51300273029,ddd,74,175
51300293020,eeg,210,33
51300295615,eab,264,119
51300346579,fgg,90,13
51300362856,cgd,133,109
51300363883,ccc,191,213
51300447263,dce,76,277
51300509549,ebd,176,88
51300543930,cdc,248,206
51300553909,bab,127,289
51300648180,efd,42,220
51300705848,gbf,297,293
51300713640,ebg,23,223
51300783225,fff,27,214
51300792830,fcg,184,87
51300810299,efb,248,137
51300925521,dgb,285,293
51301115779,gac,221,38
51301160044,bae,29,270
51301194854,fcc,87,66
51301207781,efe,126,167
51301235903,ddc,17,49
51301250509,ccb,88,212
51301264128,cde,55,52
51301285842,dea,72,277
51301287651,ccg,81,31
51301314136,eda,13,30
51301331910,dfa,237,209
51301334336,eac,38,14
51301335306,baa,136,262
51301373935,ead,30,101
51301400008,bag,38,199
51301442100,dge,38,263
51301490642,fga,210,271
51301494047,gdc,284,281
51301614983,bda,189,275
51301635761,bdc,150,18
51301640344,gfa,60,266
51301724494,cec,34,13
51301761314,geg,188,154
51301762601,abg,164,203
51301763789,ffb,269,30
51301765033,bce,133,228
51301793967,adf,19,232
51301840627,fef,224,174
51301867899,bff,83,49
51301888583,gda,150,50
51301901228,eeg,18,37
51301910696,dda,295,121
51301928587,gde,256,206
51301959099,daa,246,280
51301974224,bfc,67,230
51301996937,dag,101,243
51302020553,bdf,175,45
51302102238,dgd,200,91
51302107449,acg,68,108
51302117704,ggd,73,194
51302120272,feb,280,202
51302137738,eab,16,135
51302151928,ccd,23,166
51302201492,dbb,141,98
51302202220,fag,258,94
51302209022,cda,135,75
51302218115,eae,67,125
51302255990,dfa,291,229
51302258062,gfb,209,248
51302341119,egc,247,239
51302350448,bee,103,267
51302360922,aec,124,291
51302366292,aae,244,117
51302372710,gcd,187,199
51302499133,fbe,81,261
51302519747,fgb,157,223
51302529845,bff,258,42
51302536935,fgb,242,249
51302550260,gfd,253,298
51302555013,efa,257,163
51302556574,dca,138,34
51302560362,acc,239,214
51302561215,bcd,183,202
51302580365,gae,100,45
51302583413,aad,274,257
51302589587,fge,296,38
51302591326,eaf,130,70
51302629978,ggg,289,211
51302678346,dfe,172,58
51302686708,bdf,239,46
51302706771,dca,196,38
51302719215,dbe,256,158
51302731993,dba,14,206
51302747812,gab,182,225
51302775707,aag,279,162
51302785953,bge,75,207
51302866019,cfb,261,185
51302876162,caf,107,33
51302877453,fbc,207,245
51302879709,ffa,212,74
51302919317,ccg,142,28
51302987395,bdd,216,68
51302993370,fbg,110,201
51303018782,deg,190,187
51303051580,efb,256,149
51303064496,agc,271,164
51303075563,ceb,132,192
51303100324,fda,108,187
51303110790,ggc,209,59
51303130137,gfc,104,181
51303145091,gge,115,123
51303153279,dfb,271,126
51303171336,abd,48,154
51303191204,aee,170,16
51303204695,gbb,238,225
51303211102,eed,17,151
51303275128,cda,62,63
51303277920,fcc,281,66
51303290231,ada,105,282
51303324794,ddd,112,204
51303365181,dca,221,33
51303395300,abc,153,176
51303411788,dfe,58,66
51303443825,dcb,262,34
51303488474,cbg,27,131
51303499788,bff,10,46
51303523611,gdd,119,140
51303556409,cde,213,41
51303559267,ebg,219,180
51303561800,afe,60,187
51303563214,fgd,237,142
51303566548,bbc,217,43
51303628805,fgc,13,64
51303644543,bgd,10,153
51303668645,dae,293,32
51303683163,cbb,7,75
51303684592,daa,190,299
51303685440,bac,265,249
51303692781,aca,295,154
51303731539,ceg,7,294
51303744903,ecf,80,174
51303750254,cbe,48,144
51303758032,bba,145,131
51303760171,fdf,31,60
51303763301,gag,84,124
51303764288,bga,50,224
51303786892,fae,101,200
51303796062,bad,3,225
51303807834,bdg,55,185
51303824467,ffb,191,30
51303832142,ecd,41,223
51303863421,ade,261,118
51303897342,abb,174,245
51303910256,bdd,262,72
51303997803,bae,276,224
51304020144,fea,84,71
51304074559,gbc,203,154
51304098685,gcd,122,183
51304103166,ggc,124,57
51304115289,gff,208,50
51304128618,ggg,133,232
51304154895,ffc,13,143
51304159938,bde,74,110
51304162976,efd,116,195
51304176734,fbg,209,207
51304251940,ede,1,144
51304274198,ddc,174,46
51304296689,gba,38,168
51304340578,abb,196,227
51304344962,fcc,275,64
51304358138,dac,116,184
51304361473,ffc,138,134
51304385084,fgb,13,224
51304397872,bfg,98,203
51304405765,aab,237,261
51304427445,fec,255,232
51304439507,ccb,4,197
51304453320,cdd,236,168
51304455294,dff,260,191
51304460841,cgf,8,11
51304462300,fcc,86,61
51304488085,ebc,298,211
51304493261,cbb,146,84
51304499967,bgg,285,91
51304505163,eaf,236,81
51304506166,eeb,203,124
51304511447,ceg,109,267
51304524145,cgb,201,96
51304543625,bea,134,65
51304555134,ebb,93,41
51304557517,bca,173,63
51304585679,eba,206,91
51304606907,ece,228,91
51304621381,bbd,71,38
51304628168,cbc,125,62
51304669480,cge,216,291
51304692371,dag,111,221
51304701610,fda,271,194
51304709622,ebf,176,23
51304710392,ceb,130,224
51304728402,adf,94,262
51304740543,aca,231,161
51304761017,fcc,11,56
51304764109,faf,55,29
51304769097,def,2,228
51304792514,cfg,196,265
51304801179,dbb,114,92
51304801931,aag,203,170
51304849849,cbb,122,73
51304866206,gee,163,169
51304885836,dge,55,210
51304890205,bec,38,216
51304894749,fdg,182,54
51304945271,fde,123,16
51304986699,eff,285,22
51304987104,bdg,173,153
51304991435,fbc,29,208
51304995888,fcb,221,153
51305010145,bea,8,70
51305015243,dcb,192,39
51305035566,dfd,37,294
51305049093,gcf,1,286
51305058563,gbd,82,224
51305079890,bbe,279,184
51305103256,edb,131,110
51305116007,cfb,220,199
51305118024,fda,118,166
51305123767,ege,40,100
51305129067,dbf,83,235
51305169978,bfe,213,213
51305212906,acc,273,205
51305215166,fgb,296,262
51305218023,ccc,288,234
51305219967,afb,146,143
51305233495,cdb,276,64
51305263448,cab,45,150
51305324373,gaf,72,249
51305367242,fdd,191,276
51305380164,agb,104,24
51305389726,efc,206,198
51305411587,dbd,154,273
51305474495,aag,273,170
51305485464,fff,192,175
51305528719,dgb,149,342
51305536050,bed,277,20
